Date,Sleep_Duration,Mood_Score,Caffeine_Intake_mg,Exercise_Minutes,Screen_Time_Hours,Stress_Level,Water_Intake_Liters,Alcohol_Consumed,Journaled
2023-01-31,6.097440081655905,10.0,267.0,49.0,8.515167544463344,9.0,1.958392374343283,No,
2023-02-01,9.778417276763406,3.0,73.0,74.0,2.852929429849388,7.0,3.576645805273828,No,No
2023-02-02,6.979754162893099,7.0,,14.0,,10.0,1.9394697130916474,,Yes
2023-02-03,5.41343360656615,4.0,296.0,,4.825602702473701,,1.6149025562677055,No,No
2023-02-04,8.233817368154783,8.0,163.0,27.0,6.327312055875349,9.0,,Yes,Yes
2023-02-05,,7.0,84.0,21.0,5.927333143361763,4.0,3.3613923002084443,No,Yes
2023-02-06,7.313295392507133,,71.0,104.0,5.721358351385992,,2.625058836709039,No,No
2023-02-07,4.060494814180337,7.0,54.0,16.0,5.068263963023155,8.0,2.8045590785763914,No,Yes
2023-02-08,5.007720926652354,3.0,392.0,,6.573080053967839,4.0,3.868008066617718,Yes,Yes
2023-02-09,7.295291853803685,2.0,,89.0,-0.8273448840899444,9.0,3.3712569470747105,Yes,Yes
2023-02-10,,,398.0,107.0,3.4983893898245184,4.0,2.5216477924477494,Yes,No
2023-02-11,,2.0,237.0,70.0,4.812775181433104,8.0,2.1981971817726436,Yes,No
,6.826527576417639,3.0,103.0,105.0,6.4090695982050185,,3.26654120653697,No,No
2023-02-13,6.548344456616067,6.0,209.0,56.0,7.979530280137133,,3.080498739398121,Yes,
,4.782217014448859,5.0,41.0,25.0,3.2298005836657193,10.0,2.793003677862058,No,Yes
,5.920233687407937,8.0,315.0,24.0,7.914157251073135,4.0,2.2710904198045583,No,No
2023-02-16,6.309041843560319,9.0,267.0,9.0,4.094876661597274,1.0,2.446527254613217,No,No
2023-02-17,8.585683339328373,3.0,385.0,44.0,,3.0,2.396736304767361,No,No
2023-02-18,7.515427434352692,10.0,262.0,82.0,6.1628650375952265,9.0,2.2827418514930935,No,Yes
2023-02-19,4.355439766955899,3.0,335.0,10.0,4.593527841386454,4.0,2.0791963043828123,No,No
2023-02-20,7.486125954092192,3.0,386.0,76.0,7.220235213332636,5.0,2.6856390451638115,Yes,Yes
2023-02-21,6.422376579375525,,364.0,52.0,4.190791709773713,7.0,2.0475792929614594,Yes,No
2023-02-22,5.984616999541062,1.0,258.0,71.0,4.220930017439332,5.0,2.6241654196401276,Yes,Yes
2023-02-23,7.917514433261302,7.0,,,7.103959908418664,4.0,1.0300887374466674,Yes,Yes
2023-02-24,8.546499283743927,1.0,,67.0,3.4737512234646837,2.0,2.080088081979429,,No
2023-02-25,8.396920178674298,5.0,362.0,110.0,5.49785819063332,2.0,3.2688304404858335,No,Yes
2023-02-26,5.741173715166042,10.0,39.0,94.0,,4.0,1.8696995421748572,Yes,No
,6.5361814362231785,8.0,,27.0,8.63927870412238,10.0,2.9144713727302003,Yes,Yes
2023-02-28,7.496895147105346,4.0,128.0,74.0,7.41310387247355,10.0,1.927901374976846,Yes,Yes
2023-03-01,8.463317690683539,5.0,7.0,106.0,10.50021439916151,9.0,3.043049959755254,No,No
2023-03-02,6.281238643232065,4.0,100.0,64.0,,8.0,2.292023736961021,,Yes
2023-03-03,6.721511535004274,4.0,379.0,48.0,2.740699540799037,3.0,2.2643473769443,No,No
2023-03-04,5.340497538990958,,175.0,46.0,6.337299720321184,9.0,2.5380460349829117,Yes,No
2023-03-05,,,106.0,51.0,3.163982475556391,,1.5596011230148132,Yes,No
2023-03-06,8.218788733591296,1.0,100.0,,8.156075014106197,3.0,3.1804635731295225,Yes,Yes
2023-03-07,,3.0,259.0,87.0,2.7977194240448555,5.0,3.412403409061016,Yes,Yes
2023-03-08,6.891984817629499,9.0,365.0,53.0,2.7016902315204048,10.0,2.24797795210353,Yes,Yes
2023-03-09,8.505299346838036,4.0,245.0,59.0,1.7803770926066265,4.0,,No,No
2023-03-10,7.542454037571451,10.0,274.0,56.0,4.023240357473997,8.0,3.04523747614844,,No
2023-03-11,6.032320368092313,5.0,31.0,46.0,3.6210443504328573,5.0,2.43611971336786,No,
2023-03-12,7.5420934082626205,2.0,136.0,30.0,2.4767017883214693,10.0,1.7242269930974943,Yes,Yes
2023-03-13,9.307054849698954,4.0,11.0,104.0,8.979618208487048,8.0,3.615857492366291,No,
2023-03-14,6.946260941335073,2.0,394.0,45.0,6.059761392773289,9.0,2.225234806549841,No,Yes
2023-03-15,9.346965483721009,,301.0,113.0,5.824469079713423,4.0,2.0736056615503333,,No
2023-03-16,3.0703823438653837,4.0,374.0,25.0,8.178328838495853,7.0,3.647154351933748,No,Yes
2023-03-17,8.232853756562836,6.0,15.0,112.0,5.512515584085869,2.0,2.9270411372893426,Yes,No
2023-03-18,7.130570602357257,7.0,128.0,113.0,3.502639596989721,6.0,2.6802010532406095,Yes,Yes
2023-03-19,6.551488974301199,10.0,62.0,4.0,1.5995805149646865,8.0,1.8204675356182145,Yes,Yes
2023-03-20,,3.0,108.0,83.0,3.3898852153131926,7.0,3.0619628407492545,No,No
2023-03-21,4.018646628098661,,374.0,51.0,8.010831201016925,7.0,,Yes,No
2023-03-22,6.670492168243732,10.0,20.0,104.0,2.48932776862768,8.0,3.1163553647149778,Yes,No
2023-03-23,7.53566885726762,6.0,,74.0,5.706254475995753,7.0,2.847261947404795,Yes,Yes
2023-03-24,,,268.0,119.0,7.067850286171115,5.0,3.0047649575402673,Yes,No
2023-03-25,,2.0,161.0,53.0,5.570689680886503,7.0,2.2703192667820202,,
2023-03-26,5.787259595660219,8.0,259.0,32.0,5.797966657581167,10.0,2.263644489284796,No,Yes
2023-03-27,6.247364434623195,5.0,101.0,,6.311207825746853,3.0,2.2546881610346485,Yes,No
2023-03-28,8.373103176553112,1.0,222.0,37.0,5.7585617436452985,5.0,2.097535031229186,Yes,No
2023-03-29,7.493126664489527,3.0,,26.0,8.218148344946563,7.0,2.2532885939567877,Yes,No
2023-03-30,6.205359694349442,10.0,,,2.919416543544779,9.0,2.250024965425757,No,Yes
2023-03-31,7.769901149670034,8.0,127.0,14.0,5.480849753677572,2.0,2.328720843816108,No,Yes
2023-04-01,7.14561632402206,4.0,282.0,95.0,1.3635191320057047,4.0,2.3091253778939302,No,Yes
2023-04-02,8.452967485799334,7.0,,60.0,0.8525076256269255,7.0,2.6701082999067904,Yes,No
2023-04-03,5.946920359183972,10.0,,20.0,4.836657938296033,1.0,,No,
,6.508506780103348,2.0,130.0,,,,2.617153717458192,,
2023-04-05,6.411837770301764,,352.0,68.0,8.26133555447513,9.0,3.565608294341138,No,No
2023-04-06,4.804727577801822,5.0,,5.0,9.839583466020926,10.0,2.553713967101558,No,No
2023-04-07,,5.0,280.0,37.0,7.6397213413309615,7.0,4.047623694960547,No,Yes
2023-04-08,7.391582908269834,,153.0,61.0,,10.0,2.746882677875828,Yes,Yes
2023-04-09,7.0076701849636915,9.0,381.0,85.0,5.319929711547631,7.0,2.1869182863820136,Yes,No
2023-04-10,6.64811929993728,6.0,132.0,61.0,,6.0,,Yes,No
2023-04-11,4.876943886924378,8.0,226.0,81.0,4.707926788516403,3.0,2.444330912604261,Yes,Yes
,6.369032015851961,7.0,188.0,77.0,7.580753502516451,,0.8244210937861101,No,Yes
2023-04-13,6.485928225209846,9.0,264.0,73.0,6.796563712056081,3.0,2.4971978007153712,Yes,Yes
2023-04-14,5.796584096167572,4.0,371.0,45.0,2.4273317066341034,,2.3255769134392295,Yes,No
2023-04-15,6.758071432500986,2.0,133.0,12.0,6.228051294516961,6.0,3.6245831704018343,,Yes
,7.606076285221808,7.0,210.0,94.0,6.056785623735441,4.0,,No,Yes
2023-04-17,9.829278851815795,6.0,59.0,93.0,5.699780240229475,5.0,2.2671416273452096,Yes,Yes
,7.261866719247759,1.0,376.0,2.0,4.944288889245331,3.0,3.387347563242321,,No
2023-04-19,7.386325586084147,9.0,394.0,93.0,6.331167933888387,,2.7760859729069263,No,Yes
2023-04-20,6.888331126350749,9.0,363.0,5.0,6.394626077824797,3.0,2.3799802225188063,No,No
2023-04-21,4.121843177051438,2.0,363.0,92.0,3.717082469137189,8.0,1.9704600334688762,Yes,No
2023-04-22,6.960229186826175,3.0,212.0,7.0,5.910028122764191,9.0,2.7462220088125213,No,No
2023-04-23,,5.0,215.0,43.0,4.621209718505573,4.0,2.4794891997472117,Yes,Yes
2023-04-24,,5.0,225.0,108.0,2.025532264507514,9.0,1.9625195143549619,Yes,Yes
2023-04-25,6.711458552828316,1.0,130.0,106.0,,7.0,1.9989074210704945,Yes,Yes
2023-04-26,7.452321013500419,8.0,75.0,107.0,1.8726206293091496,3.0,1.9298695198884426,No,No
2023-04-27,6.947932345442135,8.0,285.0,32.0,6.9601870701402095,7.0,1.8052110703652844,No,Yes
,5.246982943570702,4.0,276.0,80.0,5.7117787551086385,1.0,3.153823631980635,Yes,No
2023-04-29,8.71423422177253,7.0,155.0,,4.28901877758811,3.0,3.0595753510343067,No,Yes
2023-04-30,8.127899549030161,10.0,247.0,74.0,7.841042686577296,6.0,3.154972119470055,No,Yes
2023-05-01,8.186547920564571,3.0,217.0,,5.135981815162333,4.0,2.5031496841379672,No,Yes
2023-05-02,5.635918817807892,6.0,189.0,49.0,2.137554488066251,7.0,2.3301598485398904,Yes,Yes
2023-05-03,,,162.0,10.0,4.121042919632378,3.0,2.3429325230760645,No,No
2023-05-04,4.8972234058115784,10.0,179.0,,8.265708374546584,1.0,3.214771101034276,No,No
2023-05-05,7.880285640700405,9.0,33.0,27.0,3.6610487498217132,9.0,1.2258965246029199,Yes,No
2023-05-06,10.285683438714969,1.0,40.0,107.0,,6.0,2.1398597276498044,No,No
2023-05-07,5.514195512303967,5.0,306.0,69.0,6.487753249029277,8.0,1.8788580607469079,Yes,Yes
2023-05-08,6.150553405595842,4.0,337.0,40.0,6.179896969109885,3.0,3.4519212826118855,No,No
2023-05-09,7.1494770476314615,8.0,313.0,15.0,9.898919597916201,8.0,2.165779733587017,No,No
2023-05-10,6.244786518825701,1.0,74.0,67.0,,2.0,1.354807815192158,No,No
2023-05-11,4.674004853400801,9.0,278.0,98.0,2.847073838934394,4.0,2.6563965495727526,No,
2023-05-12,7.102844462209041,6.0,175.0,47.0,2.680491105795734,,,No,
2023-05-13,5.406544429410843,4.0,383.0,55.0,4.40816315796623,10.0,2.1101498346205267,No,No
2023-05-14,7.710388645952772,9.0,149.0,63.0,7.198754776364902,1.0,2.0379776302919206,Yes,Yes
2023-05-15,5.620863648649295,5.0,272.0,58.0,2.9365308404069776,7.0,2.0103606545874353,No,Yes
2023-05-16,9.324901607526309,5.0,324.0,89.0,,10.0,2.995992220399651,No,No
2023-05-17,5.825120061495644,5.0,107.0,61.0,5.070253339855474,2.0,2.6566511565904904,No,No
2023-05-18,,1.0,138.0,75.0,2.7820066135781527,4.0,2.3614239710586293,Yes,Yes
2023-05-19,8.220275826054504,,349.0,10.0,,9.0,,Yes,No
,5.1537035253490675,8.0,270.0,,1.9448590123813476,6.0,,Yes,Yes
2023-05-21,7.341189901906194,8.0,346.0,88.0,3.6682931835321515,8.0,,No,No
2023-05-22,8.960714131423643,6.0,288.0,17.0,4.661697648513359,2.0,2.7090581137816434,No,
2023-05-23,4.588775148158159,4.0,,18.0,7.692125953460902,7.0,2.6126190680942383,Yes,No
2023-05-24,7.276950787798456,2.0,380.0,86.0,6.5981764243764776,6.0,1.8541851332207302,Yes,No
2023-05-25,,2.0,271.0,54.0,3.3221174958393958,9.0,0.8177763851855866,Yes,No
2023-05-26,8.172734307665966,9.0,65.0,101.0,5.817330566744337,7.0,3.759733132036353,No,Yes
2023-05-27,5.144573933682877,,247.0,117.0,8.30309253838448,1.0,1.583254188124028,Yes,Yes
2023-05-28,5.019315080373586,,155.0,81.0,8.74783484206007,8.0,1.1245294289331433,No,No
2023-05-29,7.782912348425347,10.0,46.0,25.0,4.3711879768928075,10.0,,No,No
2023-05-30,7.445477009849779,1.0,,5.0,6.916576859410004,3.0,1.3040370477384955,No,No
2023-05-31,7.375739275518815,7.0,147.0,3.0,7.7799107337756475,2.0,1.9366408759975804,Yes,Yes
,7.519672314245463,3.0,123.0,107.0,1.9858561536432258,3.0,2.88419529806618,No,Yes
2023-06-02,5.979962917632264,6.0,0.0,114.0,3.9751858256806063,6.0,3.7408810879318324,Yes,Yes
2023-06-03,,5.0,,28.0,9.440037468846526,3.0,,Yes,Yes
2023-06-04,7.439608709948022,5.0,342.0,58.0,4.397927779758192,10.0,2.1925885103861837,,Yes
2023-06-05,5.928472872960448,5.0,,97.0,-0.8579027294021948,5.0,2.4640063119152105,Yes,
2023-06-06,9.798661766717135,,190.0,16.0,4.758076379226555,6.0,,No,Yes
2023-06-07,7.710749381367681,1.0,66.0,106.0,7.249250998231724,8.0,2.184473523584395,No,Yes
,5.2130447541960265,3.0,3.0,42.0,5.013020873601792,7.0,2.185152877251139,,No
2023-06-09,7.984830412950744,10.0,,116.0,6.430727893601268,8.0,2.607330063496026,No,Yes
2023-06-10,5.5379774946590175,4.0,293.0,79.0,6.8764439953114636,3.0,3.8595327288856396,Yes,Yes
2023-06-11,8.180626905613678,5.0,142.0,65.0,4.290125097135435,4.0,1.1442432978874328,Yes,Yes
2023-06-12,8.737893368511106,2.0,190.0,33.0,3.961214027171248,,2.2146256718978594,Yes,Yes
2023-06-13,5.7689765224724345,,20.0,118.0,5.306881951908544,7.0,1.216543319205708,Yes,No
2023-06-14,8.445064193866482,2.0,226.0,7.0,,9.0,2.1476451347246446,No,Yes
2023-06-15,7.619171390404747,9.0,312.0,12.0,5.108153639693943,1.0,1.8947785012174045,Yes,No
2023-06-16,8.233090239991736,2.0,,105.0,5.190313045364928,8.0,1.45395758474902,,No
2023-06-17,,9.0,301.0,7.0,3.5029077307585244,8.0,3.1391644213708454,Yes,No
2023-06-18,6.631917825995695,,141.0,93.0,6.500573820161896,6.0,2.6789533926953006,Yes,
2023-06-19,5.869395753463765,8.0,,95.0,6.198463894225933,,3.057098940757832,Yes,Yes
2023-06-20,,2.0,392.0,99.0,2.327983266729084,3.0,2.127842322732754,Yes,Yes
2023-06-21,5.776284572551843,7.0,354.0,110.0,4.221675365828066,3.0,2.4504984669539422,No,No
2023-06-22,,6.0,251.0,93.0,5.186159745078893,6.0,3.61624844885142,No,No
2023-06-23,7.511727962224966,4.0,332.0,64.0,3.931373995447651,,2.498095863423621,No,No
2023-06-24,7.415036198995028,7.0,206.0,42.0,,7.0,,No,No
,8.240774873554036,4.0,209.0,38.0,4.866234923085725,1.0,2.0677805880982896,Yes,Yes
2023-06-26,7.0195028378168605,2.0,114.0,80.0,5.338145058910373,6.0,3.001212140354982,Yes,Yes
2023-06-27,9.180301115735976,10.0,224.0,58.0,4.198581385033854,7.0,2.115756448136289,,Yes
2023-06-28,6.603014750143066,7.0,133.0,83.0,1.0135623531787705,7.0,1.1725043367582293,No,No
2023-06-29,11.080253749884427,8.0,250.0,87.0,0.8993033568751008,9.0,2.4946919784552706,Yes,
,7.938501021647509,2.0,218.0,113.0,,10.0,2.1707878001772265,Yes,Yes
2023-07-01,5.714263665375576,5.0,90.0,85.0,,5.0,1.3626530484219166,No,Yes
2023-07-02,,,353.0,92.0,5.877324412702169,1.0,2.634044996171222,,No
2023-07-03,7.723708622864778,7.0,375.0,85.0,5.268945684125827,2.0,1.8745314605326748,No,Yes
2023-07-04,6.664805822011224,8.0,45.0,43.0,5.429134806747029,4.0,4.664848894923877,Yes,Yes
2023-07-05,8.071000741138137,6.0,37.0,8.0,6.938046747237577,5.0,1.4748904366104327,No,No
2023-07-06,7.709856436860317,5.0,141.0,,,9.0,1.6509525402849023,No,No
2023-07-07,6.890756631014691,6.0,,,7.081818700612226,1.0,,No,No
2023-07-08,5.729809422897393,,327.0,35.0,5.342923682453194,3.0,2.4068846835519375,No,Yes
2023-07-09,4.727729162971203,1.0,189.0,100.0,4.399236518960458,5.0,3.094441616483553,No,No
2023-07-10,6.330227571899468,7.0,34.0,91.0,5.388405724312491,3.0,2.7662737377285307,Yes,Yes
2023-07-11,8.284598191485209,7.0,,27.0,3.3276442370254067,4.0,2.0923850104481727,No,Yes
2023-07-12,7.321140616195306,10.0,,41.0,4.240306142176182,3.0,,Yes,No
2023-07-13,5.131391831932018,,333.0,42.0,5.355142617280074,4.0,,No,Yes
2023-07-14,7.259771388776773,2.0,83.0,,5.3286366638020235,1.0,1.5980848700874903,No,No
2023-07-15,7.577976069593255,2.0,368.0,87.0,4.787162239994023,8.0,2.891234172814913,No,No
2023-07-16,5.674213845698301,1.0,280.0,41.0,,4.0,3.143299130079794,Yes,Yes
2023-07-17,,,343.0,103.0,6.272819092841429,7.0,2.4111575371790277,Yes,Yes
2023-07-18,7.087313077669,8.0,269.0,65.0,6.668456813199098,2.0,2.2870967250185377,Yes,No
2023-07-19,5.2855445532540655,8.0,153.0,,8.287380990504477,2.0,1.8113917267372859,No,No
2023-07-20,7.536681040522425,1.0,101.0,71.0,5.883551993177463,,2.823919901693011,No,No
2023-07-21,,8.0,214.0,47.0,5.002923668382966,2.0,0.3678498182428718,Yes,No
,,9.0,,90.0,2.9739409807797004,6.0,,Yes,No
2023-07-23,8.580703078052355,4.0,82.0,21.0,7.9840357387221115,2.0,2.583633438683,No,No
2023-07-24,4.933495948064364,1.0,109.0,,5.495665953748047,4.0,2.3440290101962225,Yes,Yes
,,1.0,386.0,26.0,5.386746347650913,7.0,2.6696115922646935,No,Yes
2023-07-26,7.77255290081299,3.0,274.0,,4.4918876036422954,8.0,1.53851052564751,Yes,Yes
2023-07-27,7.770678926368313,5.0,200.0,66.0,4.364060867130275,3.0,0.8109051183468821,Yes,Yes
2023-07-28,,5.0,283.0,107.0,6.376533468101694,9.0,2.828002548967773,,No
2023-07-29,12.779097235982082,9.0,172.0,12.0,2.957118754682816,2.0,3.4215823205292826,No,Yes
2023-07-30,7.85633576603975,10.0,,,8.25086371831756,8.0,1.2824186196442842,No,Yes
2023-07-31,8.703348460270899,2.0,205.0,9.0,7.815052915076744,8.0,1.763263946102511,Yes,No
2023-08-01,8.431002645239804,2.0,62.0,99.0,4.291876906265822,4.0,3.0266274251192056,No,Yes
2023-08-02,7.977086876958697,6.0,72.0,8.0,3.2722708682539148,1.0,2.7512228319627967,No,No
2023-08-03,6.527096133039482,9.0,250.0,,0.9695880232891714,1.0,4.574175919414696,No,No
,,,123.0,119.0,2.4971722550315465,2.0,3.2529602281781287,No,No
2023-08-05,5.840762178193643,9.0,374.0,118.0,6.459822985765749,9.0,3.084797130325134,Yes,
2023-08-06,6.644772089889987,9.0,,,5.630683717801308,2.0,1.9653479100035822,No,No
,,9.0,274.0,33.0,5.987307130612176,2.0,2.867364057473478,No,Yes
,7.122811209079484,5.0,397.0,114.0,1.3088407293516768,,3.5467895637327587,Yes,Yes
2023-08-09,10.471987850010263,9.0,119.0,0.0,,7.0,2.384926464448966,No,Yes
2023-08-10,4.199102211112378,4.0,316.0,31.0,7.734545612564165,7.0,2.4179497983840075,No,No
2023-08-11,8.029390285561771,2.0,163.0,88.0,4.807945189361293,9.0,2.598947468624853,No,Yes
,4.5809261932155225,6.0,285.0,92.0,2.4554105307520295,,2.0348509229694356,,Yes
2023-08-13,6.29210220131585,4.0,264.0,70.0,,8.0,2.68827445988632,Yes,Yes
2023-08-14,8.63342589545105,6.0,,112.0,3.4579651632695008,6.0,2.670780496792977,No,Yes
2023-08-15,7.096420028643194,3.0,160.0,66.0,,2.0,3.5359904892264593,,No
2023-08-16,5.38338283310604,6.0,375.0,83.0,5.0410907577754305,1.0,2.3674252902425077,Yes,Yes
2023-08-17,5.927044436110048,2.0,307.0,19.0,6.086593328164581,5.0,2.9723099822444543,Yes,No
2023-08-18,8.019396623402013,2.0,88.0,116.0,2.564152746469775,,2.3883043026055644,Yes,No
2023-08-19,5.904450052424295,9.0,141.0,93.0,4.102566862669803,8.0,2.947831609247571,No,Yes
2023-08-20,7.324687884372962,7.0,202.0,34.0,7.180868682798218,4.0,2.3249590809456717,No,No
2023-08-21,7.06835775985572,3.0,308.0,,2.291439891129037,5.0,,Yes,No
2023-08-22,6.022599478591275,1.0,226.0,112.0,2.993775967920043,5.0,3.0097650803619134,No,No
2023-08-23,10.215916133987989,8.0,333.0,102.0,5.398594619984128,6.0,1.7533407068595337,No,No
2023-08-24,7.950878533477017,6.0,221.0,90.0,,,,No,No
2023-08-25,3.962286120013589,7.0,40.0,89.0,4.02230031451446,5.0,,No,No
2023-08-26,7.279681472154142,9.0,195.0,77.0,4.4431342347223,2.0,2.1711423137616954,No,No
2023-08-27,6.007320302847418,5.0,67.0,16.0,6.066451123111284,10.0,2.0029943218309847,No,Yes
2023-08-28,8.278650002194336,1.0,263.0,17.0,,1.0,2.708740194668769,No,Yes
2023-08-29,,10.0,1.0,44.0,2.8615566694204815,1.0,,Yes,
,6.827895337799651,7.0,360.0,115.0,5.7286390412559,10.0,2.7595650298791803,Yes,No
2023-08-31,7.757480918470685,5.0,124.0,92.0,8.024032000011445,7.0,2.7731545490229355,Yes,Yes
2023-09-01,8.298632791255182,,109.0,83.0,4.7682158772777345,2.0,2.926009251745125,Yes,Yes
2023-09-02,5.199555389416336,9.0,85.0,52.0,2.840321692422962,4.0,4.44339888130714,Yes,Yes
2023-09-03,6.498248146238577,1.0,119.0,90.0,2.7478161823455673,5.0,2.5277842301322955,Yes,Yes
2023-09-04,6.287582033258566,1.0,126.0,81.0,4.678525117376273,7.0,1.985798629399199,Yes,No
,6.020006151139432,1.0,254.0,67.0,7.071694609735237,,1.0861306673632363,Yes,No
2023-09-06,9.648181360421646,3.0,182.0,64.0,4.918488300306758,6.0,1.6632782412665896,Yes,
2023-09-07,7.607472566441434,6.0,15.0,113.0,5.378463959811856,1.0,3.364744055527037,No,Yes
2023-09-08,5.108674068497432,10.0,61.0,0.0,3.0073166356523924,7.0,3.003947154741175,No,Yes
2023-09-09,8.376792920582163,3.0,368.0,57.0,,9.0,1.5550097674395045,Yes,Yes
2023-09-10,10.18323429551895,8.0,157.0,25.0,2.7086828576692903,5.0,4.224948708699454,No,
2023-09-11,8.54869789082672,10.0,267.0,108.0,3.991007031456734,5.0,2.728735134363056,No,Yes
2023-09-12,4.72094505106898,2.0,34.0,19.0,6.259829724092588,4.0,,Yes,Yes
2023-09-13,6.273648890700623,9.0,266.0,115.0,0.921137003360136,,4.0709576259552565,,Yes
2023-09-14,8.900366723779934,3.0,63.0,86.0,5.347922299371416,9.0,3.717619004579749,Yes,No
2023-09-15,5.938495801571829,5.0,49.0,9.0,2.9218528672164377,5.0,3.0467962330825125,No,No
2023-09-16,7.665729142219343,10.0,,58.0,5.0330987978182264,8.0,3.0804497585783785,No,No
2023-09-17,8.161951080144005,8.0,148.0,,4.295888784576127,9.0,,Yes,Yes
2023-09-18,5.609604292632875,2.0,324.0,40.0,9.211669650696976,5.0,2.331323007801589,No,Yes
2023-09-19,6.9107119659073,,303.0,104.0,4.2137576216001875,10.0,2.700755028280938,No,Yes
2023-09-20,,5.0,275.0,4.0,8.685302745766684,9.0,2.9020243458522987,No,No
2023-09-21,5.463418537998566,10.0,,64.0,6.17390458236675,2.0,2.4112521839351118,Yes,No
2023-09-22,6.62114777291026,9.0,171.0,16.0,3.3970820585405432,9.0,1.824206343199113,No,Yes
2023-09-23,5.128325227052725,,200.0,21.0,5.661621850519514,,2.3137087190839325,No,Yes
2023-09-24,,2.0,392.0,,4.391180507324377,6.0,1.8084471744658557,No,No
2023-09-25,4.85478793305905,5.0,323.0,119.0,5.484314981482468,6.0,2.5450607996105616,No,Yes
2023-09-26,6.339933269954525,4.0,34.0,108.0,3.5722180251334668,6.0,1.2536799935954408,No,Yes
2023-09-27,7.196110865929137,7.0,,40.0,8.380355266691915,2.0,2.7387269573552833,,Yes
2023-09-28,9.161909933599173,,64.0,92.0,6.850796181593449,,1.3581078531022848,No,No
,4.846206773230841,2.0,7.0,67.0,5.0635631363231814,6.0,,Yes,Yes
2023-09-30,,5.0,300.0,68.0,8.458229536139068,1.0,2.852870752136592,Yes,Yes
2023-10-01,7.015349591529381,7.0,342.0,10.0,5.148558488165698,2.0,3.053802698058771,No,Yes
,5.527737023428074,7.0,331.0,55.0,7.195249929722329,7.0,2.970651446218451,Yes,Yes
2023-10-03,7.693155211394906,5.0,75.0,50.0,5.076601175044849,1.0,2.7238137401317166,No,No
2023-10-04,7.298589543360205,9.0,173.0,20.0,5.787775189621157,1.0,1.7165086793267559,No,No
2023-10-05,6.099674684261808,4.0,46.0,98.0,4.837122438114441,1.0,3.1864258484067305,,No
